Team,Rating,Attack Rating,Midfield Rating,Defence Rating
LASK Linz,68,69,68,68
SK Rapid Wien,69,68,69,69
Santos Laguna,72,73,72,71
FK Austria Wien,68,67,69,68
Tiburones Rojos de Veracruz,68,71,67,65
CD Tenerife,70,69,71,69
Pachuca,72,71,74,71
SK Slavia Praha,73,73,74,74
Querétaro,70,71,67,68
Sparta Praha,71,69,72,71
Puebla FC,70,73,69,67
Brøndby IF,68,68,70,67
SC Fortuna Köln,64,64,63,63
Aarhus GF,66,67,66,65
SV Sandhausen,69,67,69,70
Odense Boldklub,67,67,65,67
AEK Athens,73,74,73,73
FC Würzburger Kickers,65,64,65,65
Olympiacos CFP,75,73,75,73
Accrington Stanley,63,68,63,63
ESTAC Troyes,68,69,67,68
GFC Ajaccio,66,65,66,67
Rosenborg BK,70,70,71,69
FC St. Pauli,70,72,70,68
Lillestrøm SK,63,62,64,64
US Salernitana 1919,69,71,69,67
Bohemian FC,59,57,59,59
Fiorentina,76,78,76,76
Shamrock Rovers,62,62,63,62
Club Atlético Lanús,71,75,70,71
PFC CSKA Moscow,74,73,74,71
Newell's Old Boys,69,67,69,67
IFK Göteborg,65,68,64,64
Club Atlético Banfield,69,65,69,68
Malmö FF,70,71,71,69
Club Atlético Colón,72,72,71,71
Grasshopper Club Zürich,66,67,68,60
Valenciennes FC,67,68,68,67
Galatasaray SK,76,76,77,75
Fenerbahçe SK,76,76,74,76
Rangers FC,73,74,72,71
Birmingham City,70,72,70,70
Charlton Athletic,67,67,66,67
Viktoria Plzeň,72,72,71,71
Derby County,71,72,71,71
Beşiktaş JK,77,79,78,76
Grimsby Town,62,63,60,62
Hallescher FC,64,62,66,64
Yeovil Town,61,61,61,62
Ipswich Town,68,67,66,68
Eintracht Braunschweig,65,66,65,64
Leicester City,78,78,76,79
SV Darmstadt 98,70,69,70,68
Lecce,68,70,67,69
Millwall,69,69,69,69
Genoa,74,75,75,73
Morecambe,60,58,60,59
Sunderland,68,70,68,67
Dijon FCO,72,73,72,71
West Bromwich Albion,73,74,72,74
Stevenage,62,62,61,61
Rosario Central,71,73,72,70
Wolverhampton Wanderers,77,75,80,76
Stade Brestois 29,69,70,69,70
Patronato,68,65,68,67
Crewe Alexandra,60,61,60,60
Stade de Reims,74,73,73,73
Carlisle United,63,61,62,64
Shrewsbury,65,64,65,65
PAOK,75,71,76,75
FC Midtjylland,70,69,70,71
1. FC Magdeburg,68,67,67,68
Doncaster Rovers,65,67,66,64
Molde FK,69,70,68,68
IK Start,62,63,62,62
FC Carl Zeiss Jena,63,65,62,63
Exeter City,63,64,62,63
Tromsø IL,63,62,65,62
FSV Zwickau,65,63,65,66
Fulham,75,78,76,73
Angers SCO,74,72,74,74
SV Meppen,65,65,65,64
Lincoln City,65,64,65,66
Górnik Zabrze,65,69,65,63
Fortuna Düsseldorf,73,74,73,73
Wisła Płock,65,66,66,62
DSC Arminia Bielefeld,69,70,69,69
VfL Sportfreunde Lotte,64,63,64,64
Cork City,62,65,62,61
GIF Sundsvall,65,65,67,64
Crotone,69,69,69,68
St. Patrick's Athletic,61,61,62,61
Spezia,68,67,68,67
AIK,69,71,72,67
Neuchâtel Xamax,64,66,65,62
VfL Bochum 1848,70,71,71,70
Trabzonspor,72,75,73,70
FC Energie Cottbus,63,64,64,63
Derry City,58,56,60,58
Athletic Club de Bilbao,79,80,80,78
SpVgg Greuther Fürth,68,68,66,69
Real Betis,80,79,80,80
RC Celta,77,80,77,75
Jagiellonia Białystok,67,70,69,65
Bahia,71,70,71,71
RCD Espanyol,77,77,77,75
RCD Mallorca,69,69,70,67
Pogoń Szczecin,67,67,66,63
Real Sociedad,78,79,77,76
Cracovia,65,66,66,64
Real Sporting de Gijón,72,72,71,72
Valencia CF,80,79,81,79
Zagłębie Lubin,65,65,65,64
Real Valladolid CF,74,74,73,72
Incheon United FC,64,67,62,63
Hertha BSC,77,77,76,77
FC Sion,68,65,68,65
KFC Uerdingen 05,66,67,65,67
Club León,72,68,72,72
1. FSV Mainz 05,75,74,76,74
Deportivo Alavés,76,76,77,76
Grêmio,75,74,73,74
1. FC Nürnberg,72,73,72,72
FC Thun,64,70,66,60
SD Eibar,77,79,77,76
Real Oviedo,71,72,72,71
Vitória,71,72,72,72
CD Lugo,70,71,70,69
Le Havre AC,67,68,67,68
SpVgg Unterhaching,65,67,65,64
Granada CF,71,72,72,70
Empoli,72,74,72,72
VfL Wolfsburg,78,77,78,77
SD Huesca,73,74,73,72
KSV Cercle Brugge,68,69,68,67
CF Reus Deportiu,61,62,61,61
Elche CF,68,70,68,68
Sandefjord Fotball,63,63,63,63
Crawley Town,62,64,61,60
Extremadura UD,68,69,68,68
Foggia,68,69,68,66
UD Las Palmas,72,74,70,72
Dundee FC,63,66,63,64
SV Mattersburg,65,65,64,64
Padova,68,68,67,68
CD Numancia,69,70,70,69
Hamilton Academical FC,62,62,61,62
Randers FC,64,63,66,65
CA Osasuna,71,72,72,70
FC Nordsjælland,66,66,66,67
Waasland-Beveren,67,68,68,66
Rayo Vallecano,74,78,75,73
Portsmouth,66,67,66,66
Sevilla FC,80,81,80,79
Kaizer Chiefs,69,70,67,66
Bologna,75,76,76,73
Norwich City,72,76,72,71
Villarreal CF,79,78,79,78
Reading,70,71,69,70
Brescia,70,72,69,69
Hannover 96,74,73,74,74
Orlando Pirates,68,68,69,66
Sheffield United,72,72,72,72
Shanghai Greenland Shenhua FC,66,68,68,62
VfL Osnabrück,66,67,67,65
FC Red Bull Salzburg,74,74,74,73
Universidad Católica,72,72,72,70
Watford,77,78,78,77
Chievo Verona,73,73,74,72
Unión Española,66,67,65,66
Burnley,77,77,75,77
Perugia,70,70,69,69
Colo-Colo,71,74,71,71
Rotherham United,67,67,68,67
Pescara,69,67,70,68
Argentinos Juniors,69,71,70,68
Venezia FC,67,68,68,68
Milton Keynes Dons,65,66,64,64
Belgrano de Córdoba,68,67,69,65
Lobos BUAP,68,69,67,66
Hellas Verona,71,72,69,70
SK Sturm Graz,67,67,66,70
Stade Malherbe Caen,72,70,72,73
Dinamo Zagreb,72,72,73,72
La Berrichonne de Châteauroux,65,67,65,65
FC Lorient,68,69,68,68
Olympique de Marseille,78,79,80,76
Nîmes Olympique,73,73,75,72
FC Sochaux-Montbéliard,67,67,66,66
RSC Anderlecht,73,74,73,71
Royal Antwerp FC,72,72,73,72
Club Brugge KV,75,76,76,74
Standard de Liège,73,72,74,72
SL Benfica,79,79,79,79
FC Porto,80,79,81,83
Sporting CP,78,78,78,78
Atlético Madrid,84,85,83,84
FC Barcelona,86,87,86,85
Deportivo de La Coruña,73,74,74,71
Real Madrid,86,83,88,86
Crystal Palace,77,79,77,76
Real Zaragoza,70,70,69,69
Coventry City,64,63,65,64
Ajax,80,79,81,79
Feyenoord,74,77,76,73
Preston North End,70,71,71,69
PSV,77,81,75,76
Gillingham,64,66,64,64
Walsall,64,63,65,63
Bradford City,65,64,66,63
Grenoble Foot 38,66,66,67,67
Stoke City,72,72,73,71
Sheffield Wednesday,71,71,71,69
Brighton & Hove Albion,76,76,77,76
Toulouse Football Club,73,75,71,73
CD Feirense,68,67,69,68
Chamois Niortais Football Club,66,70,65,65
TSG 1899 Hoffenheim,78,77,79,79
Clermont Foot 63,67,69,68,65
SC Paderborn 07,69,69,70,69
Amiens SC,73,73,73,73
Portimonense SC,70,71,73,67
AS Saint-Étienne,76,76,77,75
FC Lugano,66,70,66,65
SV Zulte-Waregem,70,71,71,67
AS Nancy Lorraine,67,67,67,67
SCR Altach,65,65,64,65
Eintracht Frankfurt,78,80,78,77
Burton Albion,64,68,64,65
MSV Duisburg,69,68,69,68
Gimnàstic de Tarragona,68,68,67,68
1. FC Union Berlin,71,71,71,71
Universidad de Chile,70,69,70,71
Karlsruher SC,66,66,65,68
Tranmere Rovers,63,64,62,61
Sampdoria,76,80,77,75
KV Kortrijk,69,70,69,67
Cagliari,75,76,74,73
HJK Helsinki,64,64,62,64
FC Augsburg,74,74,74,76
Palermo,71,71,71,72
FC Emmen,66,65,66,66
Livorno,67,68,68,67
Heracles Almelo,68,70,69,66
Ascoli,68,70,68,67
VVV-Venlo,67,67,69,66
Levante UD,76,77,76,75
Lokomotiv Moscow,77,77,75,77
Albacete BP,71,70,71,70
Spartak Moscow,75,76,75,74
Getafe CF,77,79,75,78
St. Johnstone FC,65,65,66,65
UD Almería,68,70,69,67
St. Mirren,62,63,62,62
Córdoba CF,67,66,67,65
AD Alcorcón,70,70,69,71
Legia Warszawa,69,74,69,68
CD Leganés,75,74,75,74
Wisła Kraków,65,61,65,65
MKE Ankaragücü,70,69,69,71
River Plate,76,77,77,75
Medipol Başakşehir FK,76,74,77,75
Boca Juniors,77,78,77,75
Kayserispor,71,72,72,71
Cruz Azul,73,73,73,72
Göztepe SK,72,71,72,70
Atiker Konyaspor,71,71,71,71
Çaykur Rizespor,71,73,71,70
Sivasspor,70,71,71,70
Dynamo Kyiv,75,71,76,72
Shakhtar Donetsk,75,75,76,75
Estudiantes de La Plata,70,70,69,71
Gimnasia y Esgrima La Plata,69,69,69,69
Arsenal,82,82,83,80
Racing Club,76,79,76,76
Aston Villa,72,73,73,70
Vélez Sarsfield,71,74,72,69
Blackburn Rovers,68,69,68,69
Audax Italiano,66,67,66,65
Bolton Wanderers,68,65,68,68
América de Cali,67,73,66,66
Chelsea,83,85,83,82
Atlético Nacional,70,70,70,69
Everton,79,77,80,79
Junior FC,72,74,72,69
Leeds United,73,73,72,73
Deportivo Cali,69,71,68,69
Liverpool,83,86,82,82
Independiente Medellín,69,74,65,69
Manchester City,85,86,88,82
Independiente Santa Fe,70,70,70,67
Manchester United,82,83,83,80
Millonarios FC,69,71,70,67
Middlesbrough,72,70,72,72
Once Caldas,68,65,68,69
Newcastle United,77,76,77,76
Vancouver Whitecaps FC,69,69,69,69
Club Atlas,70,67,71,68
Nottingham Forest,72,73,71,71
Club Necaxa,68,69,68,68
Queens Park Rangers,69,70,69,69
Júbilo Iwata,66,65,66,63
Southampton,76,73,77,74
Kashiwa Reysol,65,69,64,62
Tottenham Hotspur,83,86,82,83
Vissel Kobe,69,73,72,64
West Ham United,79,80,78,77
Kashima Antlers,68,71,67,67
FC Bayern München,85,85,85,85
Cerezo Osaka,67,68,68,66
Borussia Dortmund,81,82,82,79
Shimizu S-Pulse,66,71,65,64
Borussia Mönchengladbach,79,81,78,78
FC Tokyo,68,68,68,68
SC Freiburg,74,75,73,74
Yokohama F. Marinos,67,72,68,66
FC Hansa Rostock,65,66,65,65
Netherlands,82,83,81,83
Hamburger SV,72,72,71,73
Girona FC,77,79,76,76
1. FC Kaiserslautern,65,66,66,65
CF Rayo Majadahonda,68,68,68,67
1. FC Köln,76,77,75,74
Northern Ireland,71,69,72,72
Bayer 04 Leverkusen,80,81,81,78
TSV 1860 München,64,64,63,64
FC Schalke 04,78,76,77,78
VfB Stuttgart,76,75,76,75
SV Werder Bremen,77,75,79,76
Atalanta,77,82,77,75
Inter,82,83,82,81
Juventus,85,89,84,85
Lazio,80,81,80,80
Milan,80,80,80,80
Napoli,82,84,83,81
Parma,73,74,73,71
Roma,80,82,79,81
Torino,77,81,76,77
Udinese,75,76,75,74
AJ Auxerre,68,68,68,67
FC Girondins de Bordeaux,74,75,73,74
En Avant de Guingamp,73,74,74,73
Racing Club de Lens,68,68,67,68
LOSC Lille,76,75,76,75
Olympique Lyonnais,79,78,81,78
FC Metz,71,72,70,71
AS Monaco,79,82,78,77
Montpellier HSC,75,75,74,75
FC Nantes,75,73,75,74
OGC Nice,75,74,75,74
Paris Saint-Germain,84,88,85,82
Stade Rennais FC,75,77,75,75
RC Strasbourg Alsace,74,74,74,75
Aberdeen,68,67,69,69
Celtic,74,73,74,73
Heart of Midlothian,67,70,67,67
Hibernian,67,69,68,66
Kilmarnock,68,66,69,67
Motherwell,66,67,66,65
Paraná,70,68,71,70
Sport Club do Recife,70,70,71,71
Ceará Sporting Club,68,64,69,69
Real Salt Lake,69,69,71,67
Arka Gdynia,65,63,66,64
Korona Kielce,64,68,64,64
Piast Gliwice,66,65,66,68
Zagłębie Sosnowiec,63,64,63,62
Lechia Gdańsk,68,69,68,67
Śląsk Wrocław,66,69,66,65
South Africa,70,71,70,70
Peru,72,76,72,71
Colombia,79,79,80,76
Côte d'Ivoire,75,76,75,76
Egypt,73,69,75,70
Minnesota United FC,70,73,71,68
Montreal Impact,70,71,72,69
Portland Timbers,70,70,72,70
Seattle Sounders FC,71,72,72,68
1. FC Heidenheim 1846,69,70,69,68
FC Ingolstadt 04,70,69,71,68
Red Star FC,64,65,64,64
Limerick FC,55,57,55,55
CD Huachipato,67,67,66,66
CD Palestino,67,66,68,67
Kasimpaşa SK,71,72,71,71
Akhisar Belediyespor,70,69,72,70
SG Sonnenhof Großaspach,63,65,63,64
Adelaide United,65,62,66,64
Brisbane Roar,65,60,67,63
Central Coast Mariners,63,62,63,61
Melbourne Victory,66,65,68,66
Newcastle Jets,64,66,66,63
Perth Glory,66,70,67,66
Sydney FC,67,69,70,65
US Cremonese,69,68,68,70
Bolivia,67,67,66,65
Canada,71,73,72,67
Chile,77,77,78,76
Deportes Iquique,66,67,65,65
Ecuador,73,73,73,70
India,60,61,59,60
CD Antofagasta,67,67,66,67
New Zealand,68,70,68,67
CD Universidad de Concepción,69,69,69,68
Venezuela,72,77,71,69
Unión La Calera,68,70,67,67
Royal Excel Mouscron,67,67,68,66
Beijing Renhe FC,64,64,65,62
Urawa Red Diamonds,69,69,67,70
Shanghai SIPG FC,69,75,69,64
Gyeongnam FC,65,67,60,63
Toronto FC,70,71,70,70
Rionegro Águilas,68,69,66,69
Frosinone,72,73,70,72
Alianza Petrolera,66,66,65,66
Vendsyssel FF,64,64,64,65
CD Everton de Viña del Mar,67,69,64,65
Al Shabab,69,72,70,67
Orlando City SC,68,70,69,67
Club Tijuana,71,72,72,70
Curicó Unido,66,66,65,64
IF Brommapojkarna,60,61,61,60
San Luis de Quillota,60,63,63,57
Godoy Cruz,69,70,67,68
Club Atlético Talleres,70,71,71,67
Club Atlético Aldosivi,69,69,67,68
Club Deportes Temuco,64,60,64,63
Atlético Tucumán,70,69,71,70
SPAL,74,75,74,73
Defensa y Justicia,72,70,73,72
New York City FC,70,70,73,69
Club Atlético Huracán,71,73,72,70
Vegalta Sendai,64,64,62,61
San Martín de San Juan,67,67,66,67
Atlanta United,72,81,73,70
San Martin de Tucumán,67,65,68,65
Jaguares de Córdoba,65,65,65,64
Club Atlético Tigre,70,71,71,68
Itagüí Leones FC,60,65,59,60
Guizhou Hengfeng FC,63,66,58,63
Hebei China Fortune FC,67,71,66,64
Tianjin Quanjian FC,65,66,66,62
Al Batin,64,68,63,64
Atlético Bucaramanga,67,65,69,64
Los Angeles FC,71,74,72,69
Al Fayha,66,68,64,65
Alanyaspor,72,74,73,70
Sanfrecce Hiroshima,68,68,67,65
Sagan Tosu,67,72,65,64
Shonan Bellmare,64,64,63,63
Östersunds FK,66,67,67,64
Ohod Club,65,67,64,64
Al Hazem,65,63,66,63
Yeni Malatyaspor,70,71,71,67
IK Sirius,64,64,65,64
Kristiansund BK,64,65,64,64
Dalkurd FF,60,60,59,59
AS Béziers,65,62,64,65
Unión de Santa Fe,69,68,70,70
Deportes Tolima,69,70,69,68
Deportivo Pasto,66,66,67,65
Shandong Luneng TaiShan FC,68,76,67,67
Kawasaki Frontale,70,75,69,67
Wellington Phoenix,65,69,64,65
Beijing Sinobo Guoan FC,69,74,74,66
Changchun Yatai FC,61,55,61,63
Tianjin TEDA FC,65,77,62,62
Henan Jianye FC,64,70,63,62
Paris FC,68,68,69,68
FC Admira Wacker Mödling,65,65,64,65
Wolfsberger AC,65,66,65,65
Guangzhou Evergrande Taobao FC,70,70,73,68
San Jose Earthquakes,69,69,69,69
Sassuolo,75,75,74,73
Cittadella,68,67,69,68
América FC (Minas Gerais),71,71,72,71
Boyacá Chicó FC,62,62,62,63
Benevento,71,71,71,72
SKN St. Pölten,64,64,63,65
Nagoya Grampus,67,68,67,66
Gamba Osaka,68,70,64,64
Ettifaq FC,67,67,68,65
Gangwon FC,66,65,63,64
CD O'Higgins,67,62,67,67
Philadelphia Union,70,68,72,69
Al Nassr,72,72,73,70
Jiangsu Suning FC,66,79,63,67
Chongqing Dangdai Lifan FC SWM Team,64,76,64,61
Cosenza,69,71,68,66
RB Leipzig,79,80,80,78
Sarpsborg 08 FF,65,60,65,65
Ranheim Fotball,62,61,62,62
Melbourne City FC,66,69,65,66
Newport County,62,62,62,62
AFC Wimbledon,63,64,63,61
Fleetwood Town,65,65,64,65
US Orléans Loiret Football,65,64,64,65
Dalian YiFang FC,68,71,70,63
Al Ahli,71,78,71,68
Al Faisaly,66,68,67,65
Al Fateh,65,65,64,64
Al Qadisiyah,66,64,67,66
Al Raed,66,68,67,63
Al Taawoun,67,67,70,63
Al Wehda,68,68,71,66
Carpi,67,66,68,67
Hobro IK,63,64,65,63
Western Sydney Wanderers,65,69,65,63
Guangzhou R&F FC,68,69,67,67
Hokkaido Consadole Sapporo,66,68,65,66
V-Varen Nagasaki,62,63,60,64
Chapecoense,71,69,71,71
Miedź Legnica,65,66,65,63
CD Tondela,69,69,68,69
La Equidad,67,71,68,65
Envigado FC,64,62,66,62
Patriotas Boyacá FC,66,57,66,65
Atlético Huila,63,63,64,61
BSC Young Boys,72,75,70,72
Stabæk Fotball,63,67,61,63
FK Bodø/Glimt,63,64,62,62
SK Brann,67,67,68,69
Vålerenga Fotball,66,66,66,66
Strømsgodset IF,65,68,65,66
FC Seoul,67,64,66,66
Suwon Samsung Bluewings,68,68,68,66
San Lorenzo de Almagro,72,72,72,72
Monarcas Morelia,69,68,69,69
Monterrey,75,77,74,74
Atlético Mineiro,74,76,75,74
Atlético Paranaense,70,69,70,70
Internacional,74,73,74,74
Santos,71,73,71,71
England,82,85,81,81
Austria,77,82,77,76
Belgium,84,85,83,86
Bulgaria,67,69,65,67
Czech Republic,76,75,75,74
Denmark,78,77,80,76
Finland,70,69,68,69
France,85,83,86,83
Germany,84,84,84,82
Greece,76,77,75,76
Iceland,72,76,73,70
Italy,83,83,82,83
Norway,75,75,75,74
Poland,78,83,75,76
Portugal,83,87,83,82
Republic of Ireland,74,72,74,75
Romania,72,73,73,70
Russia,77,79,76,76
Scotland,75,72,75,74
Slovenia,74,70,75,72
Spain,85,84,85,85
Sweden,76,76,75,76
Switzerland,78,77,77,78
Turkey,76,78,77,74
Wales,74,77,74,73
Argentina,81,83,81,79
Brazil,81,84,80,80
Paraguay,73,74,74,72
SV Wehen Wiesbaden,66,67,65,67
Uruguay,81,85,79,82
Mexico,77,75,79,76
SG Dynamo Dresden,68,68,68,69
United States,74,73,75,74
FC Erzgebirge Aue,68,67,68,68
Cameroon,75,78,71,74
Australia,73,70,74,72
Botafogo,72,73,72,71
Santa Clara,70,70,71,71
GD Chaves,70,70,70,70
Kalmar FF,64,61,67,63
SC Preußen Münster,64,63,65,64
Esbjerg fB,64,63,67,64
SSV Jahn Regensburg,68,69,68,68
AC Horsens,64,62,65,64
VfR Aalen,65,63,65,64
SønderjyskE,64,65,63,62
Forest Green Rovers,63,64,63,64
Club América,74,74,75,72
Sligo Rovers,57,58,56,58
Odds BK,65,65,64,67
Guadalajara,71,74,71,68
FK Haugesund,63,61,63,64
U.N.A.M.,70,74,69,69
Fluminense,73,71,74,72
Ulsan Hyundai FC,68,69,69,67
Deportivo Toluca,72,77,72,71
Cruzeiro,73,73,72,75
Panathinaikos FC,71,73,71,70
Pohang Steelers,66,68,61,65
Málaga CF,73,72,72,72
Hungary,73,74,72,74
Jeonnam Dragons,66,65,68,65
Holstein Kiel,69,69,69,69
Vitória Guimarães,74,72,74,74
Jeonbuk Hyundai Motors,69,70,68,68
Al Hilal,74,80,73,70
Os Belenenses,71,70,73,71
Al Ittihad,71,73,72,67
Jeju United FC,67,67,66,63
CD Nacional,69,69,68,70
AC Ajaccio,67,67,67,68
Clube Sport Marítimo,70,70,69,70
Livingston FC,64,64,64,65
SC Braga,76,78,76,77
Fortuna Sittard,68,68,69,65
Boavista FC,71,69,72,71
Moreirense FC,72,71,74,72
De Graafschap,66,67,66,65
FC Utrecht,72,71,72,72
ADO Den Haag,69,70,68,69
NAC Breda,67,68,66,66
Vitória de Setúbal,70,69,70,70
AZ Alkmaar,73,73,74,72
CD Aves,69,70,69,70
Willem II,68,71,68,67
Sporting de Charleroi,71,71,70,71
Vitesse,72,72,72,70
KRC Genk,74,76,74,74
SC Heerenveen,68,69,69,66
KAA Gent,72,71,73,72
PEC Zwolle,68,70,68,67
Sint-Truidense VV,70,71,69,70
FC Groningen,69,69,69,68
KV Oostende,69,67,69,69
Wigan Athletic,69,69,69,69
Columbus Crew SC,70,71,71,69
Bristol City,70,72,71,70
New York Red Bulls,71,68,71,73
Oldham Athletic,63,62,63,60
New England Revolution,69,69,70,67
Luton Town,67,68,67,68
Brentford,70,73,69,69
Chicago Fire,70,73,70,70
Blackpool,64,65,64,63
Colorado Rapids,68,71,65,67
Port Vale,62,64,62,60
Plymouth Argyle,65,64,65,64
FC Dallas,69,66,69,70
Northampton Town,63,64,61,63
Sporting Kansas City,71,71,73,69
Barnsley,67,67,66,67
LA Galaxy,71,85,71,69
Wycombe Wanderers,64,64,64,65
Swindon Town,63,63,64,61
Houston Dynamo,69,71,69,68
Colchester United,64,64,64,64
IF Elfsborg,66,66,67,64
Cheltenham Town,62,61,63,62
IFK Norrköping,67,68,68,66
Notts County,63,63,63,61
Peterborough United,65,66,66,65
Trelleborgs FF,61,61,61,61
Huddersfield Town,74,72,73,75
Örebro SK,64,66,64,62
Mansfield Town,65,65,65,65
Bournemouth,77,79,76,77
Hammarby IF,68,69,68,65
Cambridge United,61,61,62,60
Djurgårdens IF,66,66,66,67
Bury,64,65,64,63
BK Häcken,67,68,67,66
Scunthorpe United,66,63,67,65
Oxford United,66,64,66,63
Antalyaspor,69,71,68,69
Hull City,70,70,70,68
Bursaspor,71,73,71,69
Southend United,65,64,65,63
Rochdale,64,62,65,64
Rio Ave FC,71,71,72,71
Macclesfield Town,61,61,61,60
BB Erzurumspor,68,70,69,66
Swansea City,71,73,70,71
Waterford FC,58,60,59,57
FC København,71,69,74,71
Cardiff City,73,73,73,72
Aalborg BK,66,70,65,65
Bristol Rovers,64,64,65,63
Vejle Boldklub,64,67,65,63
Cádiz CF,71,72,71,69
Dundalk,64,69,64,63
Tigres U.A.N.L.,75,80,75,72
Bray Wanderers,54,53,56,54
Excelsior,67,66,68,67
Lech Poznań,68,69,69,67
Sporting Lokeren,68,68,68,68
FC Zürich,67,65,68,65
KAS Eupen,68,68,69,67
FC Basel 1893,73,74,72,74
TSV Hartberg,63,64,63,62
FC Luzern,66,67,65,64
FC St. Gallen,65,66,65,64
FC Wacker Innsbruck,65,67,65,63
Sangju Sangmu FC,64,60,64,62
Daegu FC,65,66,63,60
